Aliment,EnergieUE (kcal/100g),Protéines (g/100g),Eau (g/100g),Glucides (g/100g),Lipides (g/100g),Sucres (g/100g),Amidon (g/100g),Fibres alimentaires (g/100g),Polyols totaux (g/100g),Cendres (g/100g),Alcool (g/100g),Acides organiques (g/100g),AG saturés (g/100g),AG monoinsaturés (g/100g),AG polyinsaturés (g/100g),"AG 4:0, butyrique (g/100g)","AG 6:0, caproïque (g/100g)","AG 8:0, caprylique (g/100g)","AG 10:0, caprique (g/100g)","AG 12:0, laurique (g/100g)","AG 14:0, myristique (g/100g)","AG 16:0, palmitique (g/100g)","AG 18:0, stéarique (g/100g)","AG 18:1 9c (n-9), oléique (g/100g)","AG 18:2 9c,12c (n-6), linoléique (g/100g)","AG 18:3 c9,c12,c15 (n-3), alpha-linolénique (g/100g)","AG 20:4 5c,8c,11c,14c (n-6), arachidonique (g/100g)","AG 20:5 5c,8c,11c,14c,17c (n-3) EPA (g/100g)","AG 22:6 4c,7c,10c,13c,16c,19c (n-3) DHA (g/100g)",Cholestérol (mg/100g),Sel chlorure de sodium (g/100g),Calcium (mg/100g),Chlorure (mg/100g),Cuivre (mg/100g),Fer (mg/100g),Iode (µg/100g),Magnésium (mg/100g),Manganèse (mg/100g),Phosphore (mg/100g),Potassium (mg/100g),Sélénium (µg/100g),Sodium (mg/100g),Zinc (mg/100g),Rétinol (µg/100g),Beta-Carotène (µg/100g),Vitamine D (µg/100g),Vitamine E (mg/100g),Vitamine K1 (µg/100g),Vitamine K2 (µg/100g),Vitamine C (mg/100g),Vitamine B1 ou Thiamine (mg/100g),Vitamine B2 ou Riboflavine (mg/100g),Vitamine B3 ou PP ou Niacine (mg/100g),Vitamine B5 ou Acide pantothénique (mg/100g),Vitamine B6 (mg/100g),Vitamine B9 ou Folates totaux (µg/100g),Vitamine B12 (µg/100g)
"	Salade César au poulet (salade verte, fromage, croûtons, sauce)","142,04","8,13","71,8","4,88",10,"1,71","3,17",2,0,"1,54",0,"1,66","2,36","4,99","2,09","0,08","0,05","0,03","0,06","0,08","0,26","1,26","0,41","4,6","1,7","0,39","< 0,01","< 0,01","< 0,01","40,7","0,75",100,483,"0,11","0,5",< 20,19,"0,15",150,300,< 20,301,"0,69","27,9",627,"< 0,25","2,24",32,-,"1,11","0,096","0,068","2,29","0,47","0,094","29,3","0,48"
"Abat, cuit (aliment moyen)","164,30","24,9","64,7","2,72","5,98","0,028",,"0,12",0,"1,7",0,0,"2,02","1,55","0,8","0,00028","0,00028","0,00028","0,001","0,0044","0,11","1,08","0,75","1,5","0,44","0,031","0,078","0,0049","0,007",327,"0,62","9,63",,"5,06","6,57","11,9","18,1","0,18",266,253,"25,7",250,"4,26",3510,"33,8","0,79","0,38","1,37",,"10,4","0,2","1,35","9,53","2,87","0,52",240,"21,4"
Abondance,"392,80","27,1","37,2",0,"31,6","0,1",-,0,0,"3,9",0,"0,84","20,1","7,47","0,94","1,13","0,7","0,44","0,84","1,03","3,67","8,48","2,96","6,41","0,53","0,27","0,02","0,02","< 0,01",106,"1,73",760,1090,"0,49","0,09",< 20,28,"0,02",570,120,< 20,690,"3,5",261,149,"< 0,25","0,75","2,25",-,"< 0,5","< 0,015","0,27","< 0,1","0,34","0,092","39,6","2,19"
"Abricot au sirop léger, appertisé, égoutté","63,06","0,94",83,"13,7","0,5","13,3",-,"1,4","0,39","0,5",0,-,-,-,-,"< 0,006",-,-,-,-,-,-,-,-,-,-,-,-,-,-,"0,024",18,"4,63","0,04","0,12",< 20,"4,9","0,03",11,140,< 20,"9,7","0,06",-,925,-,-,"< 0,8",-,"2,19","0,7","< 0,01","< 0,1","0,12","0,017","6,85",-
"Abricot au sirop léger, appertisé, non égoutté","58,35","0,49","83,5",14,"0,043",14,-,"0,83",-,"0,43",0,-,"0,003","0,021","0,01","< 0,006",0,0,-,0,0,"0,003",0,-,-,-,-,0,0,0,"0,025","14,3","4,45","0,036","0,1",< 20,"4,74","0,026","9,25",136,< 20,"9,86","0,06",0,551,0,"0,6","< 0,8",-,"2,28","0,68","< 0,01","< 0,1","0,11","0,017","6,98",0
"Abricot au sirop, appertisé, égoutté","71,30","0,5",81,"16,2","0,5","15,3",-,"1,4","0,42","0,35",0,-,-,-,-,"< 0,006",-,-,-,-,-,-,-,-,-,-,-,-,-,-,"0,03",16,"< 3,6","0,04","0,13",< 20,"5,3","0,02",10,130,< 20,12,"0,06",-,"7,98",-,-,"< 0,8",-,"< 0,5","0,7","< 0,01","0,11","0,071","0,02","9,3",-
"Abricot au sirop, appertisé, non égoutté","72,30","0,35","81,4","16,6","0,5","15,1",-,"0,81",-,"0,35",0,-,-,-,-,"< 0,006",-,-,-,-,-,-,-,-,-,-,-,-,-,-,"0,03","11,3","< 3,6","0,036","0,11",< 20,"4,8","0,02","8,66",114,< 20,12,"0,035",-,114,-,-,"< 0,8",-,"< 0,5",-,"< 0,01","0,12","0,073","0,036","9,89",-
"Abricot, dénoyauté, cru","36,27","1,14","87,6","7,14","0,35","6,57",-,"1,8","0,57","0,73",0,"1,4","0,024","0,15","0,068",0,0,0,0,0,0,"0,021","0,0025","0,13","0,059",0,0,0,0,0,"0,0025","16,1",-,"0,082","0,19","0,37","9,94","0,071","22,5",229,< 10,"< 1,11","0,14",0,1090,0,"0,89","3,3",-,10,"0,03","0,04","0,6","0,24","0,054",9,0
"Abricot, dénoyauté, sec","171,23","1,86","26,2","39,8","0,51","36,6","3,2","5,7",-,"16,5",0,"9,4","0,16","0,12","0,12",0,0,0,0,"0,0018","0,0018","0,12","0,019","0,011","0,069","0,053",0,0,0,0,"0,098","61,3",61,"0,31","4,33","3,4","36,5","0,24","68,4",1090,"2,2",39,"0,3",0,2160,0,"4,17","3,1",-,1,"0,015","0,067","2,69","0,61","0,16",12,0
Accra de poisson,"268,40","12,4","49,5","15,1","17,6","2,55","12,6",3,0,"2,3",0,0,"2,3","9,46","5,01","< 0,0056","< 0,0056","< 0,0056","< 0,0056","< 0,0056","0,097","1,23","0,51","9,34","4,67","0,073","0,014","0,016","0,033","68,8","1,24","55,3",743,"< 0,1","1,1",20,18,"0,3",110,216,18,583,"0,8","7,5",-,"< 0,5","4,84",-,-,"0,5","0,064","0,1","1,1","0,35","0,19",33,"0,43"
