Aliment,EnergieUE (kcal/100g),Protéines (g/100g),Eau (g/100g),Glucides (g/100g),Lipides (g/100g)
"	Salade César au poulet (salade verte, fromage, croûtons, sauce)",142.04,8.13,71.8,4.88,10.0
"Abat, cuit (aliment moyen)",164.3,24.9,64.7,2.72,5.98
Abondance,392.8,27.1,37.2,0.0,31.6
"Abricot au sirop léger, appertisé, égoutté",63.06,0.94,83.0,13.7,0.5
"Abricot au sirop léger, appertisé, non égoutté",58.35,0.49,83.5,14.0,0.043
"Abricot au sirop, appertisé, égoutté",71.3,0.5,81.0,16.2,0.5
"Abricot au sirop, appertisé, non égoutté",72.3,0.35,81.4,16.6,0.5
"Abricot, dénoyauté, cru",36.27,1.14,87.6,7.14,0.35
"Abricot, dénoyauté, sec",171.23,1.86,26.2,39.8,0.51
Accra de poisson,268.4,12.4,49.5,15.1,17.6
"Agar (algue), cru",27.43,0.54,91.3,6.25,0.03
"Agneau, collier, braisé ou bouilli",364.8,33.6,40.6,0.0,25.6
"Agneau, collier, cru",195.3,18.0,68.2,0.0,13.7
"Agneau, côte filet, crue",241.6,17.6,64.0,2.3,18.0
"Agneau, côte filet, grillée/poêlée",157.22,26.3,67.7,0.0,5.78
"Agneau, côte ou côtelette, crue (aliment moyen)",295.08,16.3,57.8,0.77,25.2
"Agneau, côte ou côtelette, cuite (aliment moyen)",157.22,26.3,67.7,0.0,5.78
"Agneau, côte ou côtelette, grillée/poêlée (aliment moyen)",157.22,26.3,67.7,0.0,5.78
"Agneau, côte première, crue",275.5,16.9,59.3,0.0,23.1
"Agneau, côte première, grillée/poêlée",185.49,26.1,64.1,0.0,9.01
"Agneau, côtelette, crue",368.1,14.4,50.2,0.0,34.5
"Agneau, côtelette, grillée",239.6,25.7,58.0,0.0,15.2
"Agneau, épaule, crue",203.7,19.0,64.4,0.2,14.1
"Agneau, épaule, maigre, crue",139.24,19.6,73.0,0.0,6.76
"Agneau, épaule, maigre, rôtie/cuite au four",196.8,24.9,64.2,0.0,10.8
"Agneau, épaule, rôtie/cuite au four",252.5,30.5,53.7,0.0,14.5
"Agneau, gigot, braisé",222.07,35.2,55.2,0.0,9.03
